human	rat	mouse	fly	worm	yeast	alpaca	cow	horse	pig	sheep	cat	dog	guinea_pig	rabbit	chicken	duck	turkey
Q9NY59	D4A8L3	Q9JJY3	0	0	0	0	E1BFH4	F7CZB9	F1S2K9	W5NZQ1	M3XE75	E2RLN7	H0VT86	G1T1N8	A0A1D5NWP1	R0L6C9	G1MXQ4
Q8WV74	D3ZEH6	0	Q9VY79	Q23236	0	0	A7MBF7	F6ZI17	A0A287BI57	W5Q278	M3VX84	J9P7G8	H0UYR6	0	A0A1D5PMG5	U3I2C4	0
Q96RG2	Q5PQT0	Q8CEE6	Q95SH0	0	0	0	E1BJM5	F6U335	F1SI07	W5Q9F0	M3VVQ7	E2RCE4	H0V7F2	G1TSK1	F1N9K6	U3J082	G1MX25
P61081	D3ZNQ6	P61082	Q9VSF3	0	P52491	0	A3KN22	F7AGI4	A0A287BNE4	W5P1I7	M3W0W9	E2RIU5	A0A286XVD2	G1TC10	0	0	H9H150
P12034	P48807	P15656	0	0	0	0	A0MTF4	F6U020	A0A287AAE4	W5QCF7	M3X9S6	Q20FD0	H0UW37	G1T394	A0A1L1RJ27	0	G1N655
P19235	Q5FVS4	P14753	0	0	0	0	F1MEQ7	F6VBR3	Q9MYZ9	W5QA99	M3X491	F1PSP2	H0V474	G1TA13	0	0	0
Q8IUC4	D4A8N7	Q8BWR8	0	0	0	0	F1MZ22	F6Q2D5	I3LRU1	W5P2J4	M3WLL2	F1P8I2	H0VKE2	G1TAG4	A0A1D5NWK1	U3IHP1	G1N278
Q9NX94	P0C1G7	Q8BGW2	0	0	0	0	F1N5P5	F6XUZ9	I3LPN1	W5NVC3	A0A2I2U3V8	F1PKP0	A0A286X8P5	0	A0A1D5P854	U3IZI8	G1ND54
Q6PGQ7	Q5M864	Q8BS90	0	0	0	0	F1N3C9	F6X9J6	I3LG24	W5Q102	M3WCM8	F1P681	H0UUY6	G1TPL0	Q5F3S1	0	G1NQ02
Q13686	D3Z8W2	P0CB42	Q7KUZ2	E0DBL0	0	0	A7E351	F6YA70	I3LLJ0	W5NX89	A0A2I2UD55	E2RSQ8	H0UWC4	G1SFF6	Q5F3E4	R0LIK0	G1NJS0
Q7Z5J8	F1LUI7	A2RT91	0	0	0	0	E1BP58	F6PNW1	F1RXU8	W5Q4C4	M3WNL5	E2RAV6	H0V3S7	G1TID2	0	0	0
P31943	A0A0G2JTG7	O35737	0	0	0	0	E1BF20	F7C113	A0A287BL05	W5NZJ3	M3VW73	E2R8D6	A0A286XJM8	G1TD41	A0A1D5PDS3	U3IS69	G1N620
Q15843	Q71UE8	P29595	Q9VJ33	Q93725	Q03919	0	E1BJ64	F7A2Q9	A0A287AE63	W5QCY9	M3W4C3	F1P890	A0A286XT26	Q4PLJ0	0	0	0
Q9NQV8	D4A123	Q8BZ97	0	0	0	0	A7E331	F6SX20	A0A287A5C2	W5QCC7	M3WYB5	E2R0J1	H0W021	G1TZ56	A0A1D5PDW5	0	0
O75747	D3ZE56	E9QQ35	0	0	0	0	E1B8D1	F6VQJ7	F1SQY9	W5QH65	A0A2I2UQE0	E2RIK1	H0VB67	G1T7U2	F1NSE0	U3IR02	G1NLF8
O95833	D3ZY91	Q9D7P7	0	0	0	0	A6QL90	F7CZX6	A0A287A988	0	M3VUP0	J9PB98	A0A286XH68	0	A0A1D5PD90	U3IBD3	G1MQV9
P31431	P34901	O35988	0	0	0	0	E1BKS1	F7E4A6	Q8HZJ6	W5P587	M3X6M9	J9NZ79	A0A286XNZ2	G1SWJ1	P49416	U3I7M9	Q5I5K4
Q9UBW8	F1MAA2	Q9CZ04	0	0	0	0	F6QE33	F6WB94	F2Z5Q3	W5PAD3	M3XEA0	E2RED3	H0UTM8	G1T0T5	Q5ZJA1	U3I0I4	G1NMU0
Q14CN4	Q6IG04	Q6IME9	0	0	0	0	Q148H8	F6T650	F1SGG5	W5Q643	0	0	A0A286X9U0	G1SUH1	0	0	0
Q9H2C2	D3ZTJ1	Q9D0U9	Q8SYH1	Q21765	0	0	F1MCN1	F6XQP7	F1RGS6	W5NZ13	A0A2I2UQQ8	E2QRS2	H0UZ40	G1SDE8	F1NRD3	R0LH09	G1NHT6
P60893	P60895	P60894	0	0	0	0	G3N1Y5	F6YUK2	F2Z5P6	W5PEV9	M3WSS2	E2R3D7	A0A286XSA3	G1U3E8	E1BXX3	R0LPF3	G1NA64
P61647	A0A0G2JWU8	Q8K4T1	0	0	0	0	F1MKT0	F6TPS1	F1RWB6	W5PPE6	A0A2I2USM6	J9P0H5	H0VRZ3	G1SSM7	A0A1D5PEI3	U3IT85	G1N6V9
Q9C0E4	Q9WTW1	G3XA20	0	0	0	0	F1MFS5	F7AK72	F1SPI4	W5QB39	A0A2I2UHL0	J9NZW1	H0WCC8	G1TRR0	A0A1D5PBX9	U3IST2	G1N718
O95405	D3ZDC7	A2A8R0	0	0	0	0	F1MKY4	F7C9A3	A0A287BIQ9	W5P4S4	M3XFS0	F6UTI1	A0A286Y0S9	G1SEF0	E1C6T3	U3IA83	G1NFB6
P25024	P70612	Q810W6	0	0	0	0	0	0	0	0	0	0	H0W5P4	0	0	0	0
O75340	G3V7W1	P12815	A8Y589	Q95Y96	P53238	0	Q1LZ81	F6UJN2	A0A287AKU6	0	0	F1Q1H3	H0W5E6	G1TUP1	F1NHD8	U3J185	G1N6J5
Q8TBG4	M0R7F6	Q8BWU8	0	0	0	0	Q5E9S4	F6ZEX8	F1S126	W5PCA1	M3VYA8	J9NYE8	H0VT71	G1T9T6	A0A1D5NZG8	U3IKQ9	G1N255
Q9H993	Q6AYT5	A6H630	0	O45417	Q04371	0	F1MC76	F6UY34	F1S7W3	W5NZ43	M3WCV6	E2QSJ2	A0A286X9N0	G1SHQ9	R4GFN8	U3IWR1	G1NJ75
A6NIJ9	D3ZBF0	0	0	0	0	0	0	F6QBF2	0	W5Q9T0	0	0	0	G1TRK1	0	0	0
O95881	Q498E0	Q9CQU0	0	0	0	0	Q5E936	F6XFL5	F1S6G4	0	M3X566	J9P1H9	A0A286XSX8	G1SGI8	F1NLC7	U3I8W9	G3UV47
Q6UWT4	D3ZIS7	Q3V2D2	0	0	0	0	Q3T146	F6RX88	A0A287A8G1	W5P0V4	0	J9JHY6	H0VH89	G1SLN1	0	0	0
Q8WZ64	A0A0G2K7I9	E9QP44	0	0	0	0	F1MTN6	F7D5V1	F1S4M1	W5PHT4	M3W2Q2	E2R037	H0UZX6	G1T9Z6	A0A1D5PUW8	U3J2J7	0
Q6NVV3	A0A0G2K4T6	Q8BMW7	0	0	0	0	E1BD04	F7DYY7	A0A287AD64	W5Q5N8	A0A2I2U0P9	J9NXM0	A0A286XBB4	G1STH7	R4GH30	U3IS95	G1NHH7
O75899	A0A0A0MXV8	Q80T41	A0A0B4LHR4	G5ECB2	0	0	F1MIZ5	F6XZW5	I3L6R6	W5PN55	M3WAB0	E2R738	H0V741	G1TBU3	A0A1D5P1L7	U3I9Y0	0
Q8N129	B1WC84	Q8BQ47	0	0	0	0	Q3SWX1	F6XUI1	A0A287BQG2	W5Q826	M3W0J9	E2RL97	H0V4R1	G1SD09	0	0	0
Q8WY54	Q80Z30	Q80TL0	0	0	0	0	F1N580	F6TCY7	I3LNY3	W5PQ40	M3WT73	J9P9L8	A0A286Y0H0	G1TF35	F1NZC9	U3J4F9	G1N5H1
Q6X9E4	D4A956	0	0	0	0	0	0	0	0	0	M3VXW1	E2RBE2	0	G1STL9	0	0	0
Q5VWN6	D3ZVI2	Q5DTT3	0	0	0	0	F1MBU6	F6S5J0	A0A287AY79	W5PEW1	M3WHB3	F1P8L4	H0VNR5	G1T7C6	A0A1D5PY69	U3IIJ2	G1MWI5
Q0P6D2	D3ZJ65	Q8BQT2	Q7KVC9	H2KZF0	0	0	F1MG74	F6QC43	A0A287APZ7	W5P3J5	A0A2I2UJT4	F1PJK1	H0UY21	G1SKV3	F1P454	U3IQY9	G1N801
Q9NR12	Q9Z1Z9	Q3TJD7	0	0	0	0	Q3SX40	F7BSH5	A0A287BEH6	W5P5S7	A0A2I2UVJ7	E2R2S9	H0UYD2	G1SXK6	Q679P3	U3J8E4	G3URU6
O43653	D4A6I7	P57096	0	0	0	0	G3MZX4	F6Z9H2	A0A287AMR3	W5NUT3	A0A2I2UM62	J9NUU5	A0A286XY40	G1SJS3	A0A1L1RYU0	U3IRF2	G1NJY7
Q5JUQ0	D3ZW92	Q8C552	0	0	0	0	A5PJ92	F6S2I9	I3LA76	W5PAF4	M3WRB0	J9P3I4	A0A286X967	G1SRN5	F1NEC0	U3J3K9	G1N200
Q9ULZ9	D3ZXJ0	Q9R0S3	0	0	0	0	E1BH36	F6ZQ48	I3L740	W5PWW8	M3WRF1	E2QYL2	H0W814	G1U2J8	0	U3J4C3	G1MTI5
Q8NFQ8	Q6P752	Q8BYU6	0	0	0	0	A5PKH0	F6U4U7	I3LGV2	W5Q8I7	A0A2I2UGM6	J9PB64	A0A286Y5B9	G1TBN5	F1P319	U3I1T2	G1NQZ2
Q92185	G3V7T2	Q64687	0	0	0	0	F1MRQ8	F6WBB9	A0A287B0A5	W5QG20	A0A2I2V0G4	F1PHX4	A0A286XUB0	G1T4S8	P79783	R0JNP8	G1NLN9
P40123	P52481	Q9CYT6	0	0	0	0	F1N715	F6VEI4	F1RUJ0	W5PQG5	M3WFC4	E2RH53	A0A286XHK7	G1SG83	E1BZ03	R0JNL0	G1MVS8
Q96MM7	D3ZEK5	Q80UW0	0	0	0	0	G3MWL3	F6XKN4	F1RP49	W5PIM4	M3X3Y7	J9NYF4	H0W1Y0	G1SUN2	A0A1D5PGL7	0	G3UV05
Q86W67	Q5XIN5	Q8CDW1	0	0	0	0	Q32KQ1	F7DTN3	A0A287BSG2	W5Q911	A0A2I2U240	J9NSX9	0	G1T917	A0A1L1RWM1	U3J0U1	G1NMQ0
Q96L73	D4AA06	E9QAE4	0	0	0	0	E1BM66	F7BGP4	A0A287AA00	W5P112	M3VWU0	E2R3Q9	H0VB70	G1SIA5	F1N972	U3I5W4	G1MYL5
Q05209	G3V7Q4	P35831	0	0	0	0	F1MWL1	F6QA73	K9J4T9	W5Q9V7	M3W3N7	F1PZ23	H0V4N6	G1SGY2	A0A1D5NX53	U3IXP3	G1N2Y3
O15440	A0A0G2K6R4	Q9R1X5	0	0	0	0	F1MZD4	F6WGY5	F1SG89	W5QHH3	M3W8D0	F1P857	H0VIR6	G1SU14	A0A1D5NVK0	U3I872	G1N9L8
A2RUC4	D3ZY75	A2RSX7	0	0	0	0	F1MKS9	F7ANV8	F1SI72	W5Q2T5	M3XC20	E2R278	A0A286Y616	G1TBP1	E1C7T6	U3ILF1	G1N5P5
O15315	A0A0G2JTF1	O35719	0	0	0	0	E1BE93	F7ATV5	I3LCZ3	W5QJ59	M3W844	E2R3P3	H0VHL1	G1SDN0	E1BVI8	U3I399	G1NH60
Q8N6S4	D3ZMJ4	Q3UX43	A0A0B4KFB5	Q17555	0	0	A5PK24	F6YWQ2	F1S834	W5PQP1	A0A2I2V5F3	F1P6U9	H0VEW6	U3KM17	A0A1D5NVM7	U3ISF8	G1NHN4
Q8N554	F1LN08	Q8CE64	0	0	0	0	E1B6Y2	F7DJ29	I3LLH3	W5PY72	M3W0Z5	E2R4K4	H0UYB5	G1SW86	F1NLX3	U3IF39	G1N811
Q13651	G3V830	Q61727	0	0	0	0	F1MM48	F7C9M6	F1SAM5	W5PCM0	M3WFQ1	F1PVU9	A0A286XLZ4	G1T5Q2	A0A1D5PP85	U3IX15	G1MXH7
O75569	G3V7J2	Q9WTX2	0	0	0	0	Q2HJ92	F6YKN4	A0A287A5I9	W5Q7A3	A0A2I2UXD7	J9P4M2	0	G1SP11	0	0	0
P54709	Q63377	P97370	0	0	0	0	Q3T0C6	F7CFR5	0	W5P945	M3WX58	F1Q0S2	0	G1TTG6	P33879	U3IEJ8	G1N395
P21941	Q5XI24	P51942	0	0	0	0	E1BMV3	F6QY08	I3L5Q7	W5NVN2	M3WXX2	F1Q1V7	H0VG85	G1SUK9	A0A1D5PVS6	U3IMP9	G1MPW2
P22079	D4A400	Q5SW46	0	0	0	0	P80025	F7C3Z3	F1RRP2	W5PGP1	M3WGL8	E2RFI9	H0W006	G1SXQ6	A0A1D5PU45	U3IQV6	G1MSP4
Q96J42	Q5BJT4	Q6P6J9	0	0	0	0	F1N393	F6V121	I3L5F8	W5PYM2	M3X3S9	F1PK89	H0V2G5	G1T2V5	A0A1D5PWP3	U3J0D9	0
Q14166	D4A1Q9	Q3UDE2	Q7JVG6	Q09512	0	0	F1N5K2	F6WRP1	F1SJR7	W5QCX9	A0A2I2UEB9	F1PQD3	A0A286XC85	G1U571	F1NZA1	U3IMV5	G1NLY8
Q12929	F1M3L7	Q08509	0	0	0	0	E1BCX9	F7D5Z7	F1SQX2	W5QHG1	M3WSY6	F1PLS1	A0A286XEH4	G1SE30	E1BVA1	U3IX55	G1NLE0
P21333	C0JPT7	Q8BTM8	0	0	0	0	F1N169	F7BH02	A0A287A4W0	W5P5A0	A0A2I2V3V8	F1PWW0	A0A286XNP9	0	0	0	0
Q7Z2E3	Q8K4H4	Q7TQC5	Q8MSG8	0	0	0	Q7YRZ2	F6QKY4	F1SE72	W5PIM6	M3WA48	P61797	A0A286XVB1	0	F1P5K8	U3J7M9	G1N246
Q9BWV2	D3ZFQ7	Q9D9R3	0	0	0	0	Q3T021	F6SJJ3	D5K899	W5Q781	M3WRV4	E2QWB5	H0V1A5	G1U5F7	0	0	0
Q86VK4	B4F792	Q8BKX7	0	0	0	0	Q5EAC5	F7CSW0	A0A287BGT2	W5NRJ4	M3XFP4	E2RTL0	H0VEZ8	G1SRQ0	F1NEH8	U3J1M7	G1NJ05
O14829	F1LNH9	O35655	0	0	0	0	F1MBQ1	F7BM36	I3LR47	W5PWZ7	M3VWT8	F1PVQ1	H0V873	G1T005	E1BTX9	U3IRB1	G1NPA0
O75364	P81062	O35160	0	0	0	0	E1BBR5	F6YU92	F1S8T0	W5Q870	A0A2I2UC71	J9P9T1	A0A286XPF8	G1TAT7	0	0	0
P19367	M0RAQ6	P17710	0	0	0	0	Q5W5U3	F7BA85	A0A287A1G6	W5P655	A0A2I2UHA4	J9PBL1	A0A286Y453	G1SRI8	F1NZJ2	U3IR68	G1MYM8
Q6ICB4	D4A374	Q14B98	0	0	0	0	Q1RMU7	0	A0A287BQ05	0	M3X989	J9P0H9	A0A286XA73	G1TX88	E1BXH5	0	G1NRJ3
Q8IYK4	D3Z9Z7	Q6NVG7	0	0	0	0	F1N0V8	F6PNA0	A0A287BTA9	W5NWK3	M3WHB0	F1P7T7	A0A286Y660	G1TBE9	A0A1D5P6H9	U3I0Z1	G1MRV4
Q9NP95	Q9EST9	Q9ESL9	0	0	0	0	E1BP37	F6RX27	F1SET9	W5PIL4	A0A2I2V4X2	E2RN01	H0VHG6	U3KN92	E1BWC4	U3J0T6	0
Q8IZM9	F1LRY2	G3UVW3	0	0	0	0	E1BND4	F6ZGQ9	F1SRV0	W5QJ12	M3W6J6	F1P9B0	H0VQX9	G1TN88	E1BXH7	U3IJM0	G1NLE6
Q15119	F1LMM8	Q9JK42	0	0	0	0	F6Q200	F6T5I6	A0A287BSA1	W5P5J4	M3WBT2	F1P918	H0W3I9	G1U1W3	0	0	0
P53611	F1LSM6	P53612	Q9XZ68	P41992	P20133	0	G8JKY6	F7C914	0	0	M3WMM4	F1P6X0	H0UUF1	G1TB66	A0A1L1RWT8	U3J2Q9	G1NHW3
Q96DH6	F1LWE6	Q920Q6	0	0	0	0	F1MSL5	F7AKB0	I7H541	W5PDA8	A0A2I2U3K4	0	A0A286XNH1	G1SZA1	E1C1R8	0	G1N879
Q99814	F1M8I5	P97481	0	0	0	0	A5PJT1	F7D2J8	F1S5K9	W5P6T6	M3WJ68	E2QUK0	H0VQK6	G1TWQ0	A0A1D5PQ37	U3IHW4	G1ND36
Q09161	Q56A27	Q3UYV9	Q7K4N3	O01763	P34160	0	E1BMM0	F7DG19	F1ST49	W5PNL4	M3VW75	F1PUP7	H0VLR0	G1T696	Q5ZJZ6	U3J9Q4	G1N980
P55211	Q9JHK1	Q8C3Q9	0	0	0	0	E1BNU2	F6SBJ1	F1SUV9	W5PIY5	M3WUW6	J9NUX1	H0VKK4	G1TAS5	F1NL59	U3IMR1	G1N1U4
Q15475	G3V970	Q62231	0	0	0	0	Q08DI4	F6W7Q8	E5DCJ4	W5QJ07	M3XF50	J9P3S7	A0A286XP18	G1T717	Q3C2H5	U3IKS5	0
Q8NB16	D3ZKP6	Q9D2Y4	0	0	0	0	E1BGC6	F6S337	F1S438	W5P848	0	0	H0VBI4	0	E1C6F2	U3J941	G1MRE6
P28324	B4F7D4	P41158	0	0	0	0	A2VDQ8	F7A7U0	I3LQ05	W5P224	M3W6E1	F1PA90	H0VI59	G1T7H1	0	U3IAJ4	G1MVH0
Q96C03	D3ZS35	Q5NCS9	0	0	0	0	F1MGZ0	F6XNQ9	A0A287AS66	W5NQ74	A0A2I2U2P1	E2RIR5	A0A286XWE5	G1TGF8	F1P228	U3IGG0	G1N022
Q8NAA5	F1LUK1	Q7TSF4	0	0	0	0	E1BFQ5	F6Y548	A0A286ZS41	W5Q5X9	M3X7N0	F1PHG7	H0W8G9	G1TUP6	E1C0N0	U3IIA5	0
Q99712	Q91ZF1	O88932	0	0	0	0	A5PJL2	F6T921	F1SGV3	W5PYG9	M3XDC9	E2RI90	O70339	G1TXW5	F1P0R9	U3IW77	G1NS88
Q8IUK8	P98087	Q8BGU2	0	0	0	0	A5PJP4	0	A0A287BBJ3	W5P3Z4	A0A2I2UGI0	F1PJJ9	H0UXI9	G1SL84	R4GL89	U3IQ59	G1N883
A0A096LP01	D4ABV0	Q3V460	0	0	0	0	0	0	I3LCG7	W5NSL2	A0A2I2U1F7	J9NXQ4	0	G1TH04	0	0	0
Q9NX70	D4A108	Q9DB91	Q7KBL8	0	0	0	A1A4Q8	F6SKQ2	0	W5P7U4	0	F1PKM4	A0A286XQN0	G1SJM0	A0A1D5NVV5	0	0
Q96C92	F1LMK3	A2AIW0	0	0	0	0	Q2KJD6	F6QT44	A0A287B3U1	W5P290	A0A2I2UXA2	E2R0Y0	A0A286X7N9	G1TC50	A0A1L1RLV0	U3I0B4	0
Q8WTP8	B2GUW6	Q9CZI9	0	0	0	0	F1MZX4	F7E0C3	F1SRT3	W5PMS3	M3WXX5	J9PA78	H0VXC1	G1U613	A0A1L1RN59	R0KUE8	G1N9A5
P21283	Q5FVI6	Q9Z1G3	0	0	0	0	P21282	F6RUH5	F1S0R4	W5Q5T7	M3W3B6	E2RSK6	H0VFT3	G1TEH2	A0A1D5PA09	U3I6K7	G1NIA5
Q7L7V1	D3ZGJ0	Q8BZS9	0	0	0	0	A7MBI4	F7DJX5	F1SDM5	W5PQD5	M3WBN5	F1PER1	H0V7T0	U3KNJ7	A0A1D5PJI1	U3IXE2	G1NGR9
Q9HDC9	Q7TP48	Q9D7N9	0	0	0	0	Q3T0E5	F7CSZ7	A0A287A6K7	W5P935	M3X681	E2RPE9	H0VBM4	G1TYH7	Q5ZIF1	U3I5K2	G1N544
Q8TCW9	Q8R416	Q9JKL1	0	0	0	0	F1MF63	F6SCG3	A0A287B5V5	W5QF61	A0A2I2U9C0	J9P8A7	A0A286XL64	G1U841	0	0	0
Q96PC2	D4AEE6	Q8BWD2	0	0	0	0	Q3SZ13	F6YJJ0	A0A286ZTI7	W5PKY3	A0A2I2ULA1	F1PTC5	H0VNB9	G1SPP8	R4GLW7	U3IBM1	H9H1P0
Q14680	D4A6T6	Q61846	0	U4PR86	0	0	A9Q1J5	F6T898	A0A287BI20	W5PPJ8	0	E2RNL1	H0VRD8	G1SEL7	A0A1D5P5W0	U3I849	G1NAA7
Q9BY50	G3V878	Q9D8V7	0	0	0	0	Q2KI36	F6X2P5	F1SM56	W5P6M5	A0A2I2UK96	P13679	H0VKA8	G1SWR7	A0A1D5PRA3	U3IS90	G1MR20
Q5TA31	M0R8K1	Q8BFX1	0	0	0	0	F1N5J5	F6V8V4	A0A287A4X2	W5P341	0	0	H0VA14	U3KNR4	0	0	0
Q9NWB1	D3ZSL1	Q9JJ43	0	0	0	0	F1MWC7	F6T0W2	A0A287BS62	W5P504	A0A2I2UNX7	F1Q2W1	A0A286XFB1	G1SEZ0	A0A1D5PMS0	U3J0P2	G1N8Z5
P17050	Q66H12	Q9QWR8	0	0	0	0	Q58DH9	F7BFV9	F1SJP9	W5QBZ7	M3VWN7	E2RRW9	H0WBR9	G1SRL4	F1NJF8	U3IH50	G3UPD1
Q16515	A0A0G2JTM0	Q925H0	0	0	0	0	F1MXY1	0	A0A287BMC8	W5PJ80	M3WNP4	F1PSC6	H0WD87	G1T5T1	F1NBJ4	U3IG60	G1MQQ4
P55199	D4A753	O08856	0	0	0	0	E1BK18	F7CBK8	A0A287BLL0	W5PQD2	M3WC08	F1PI35	H0VV34	0	Q5ZLS5	U3IFG1	G1N0L8
Q5VUE5	B2RYR4	D3Z1T2	0	H2KZ52	0	0	0	0	A0A287B7D8	0	0	J9PB37	H0WAP0	G1THW1	0	U3I371	0
Q16831	Q499V1	P52624	0	0	0	0	F1N0Y0	F6UCN5	I3LSZ5	0	M3WFY7	0	H0WE16	G1T8C1	E1C1T2	U3IW49	G1N3W9
Q8TF61	D3ZT20	Q6NS60	0	0	0	0	E1BK68	F7B702	F1SLF7	W5PQG9	M3WBC9	E2RRY1	H0VMV6	G1SHJ7	A0A1D5NVV8	U3J5J3	G1NKT0
Q86UW8	D3Z9H2	Q80WM4	0	0	0	0	F1N2J5	F7CQT7	A0A286ZL35	W5PG87	M3WPY1	F1P6Q9	H0VWQ7	0	A0A1D5PYM2	U3HZA6	G1MYU0
Q92833	M0RBV7	Q62315	0	0	0	0	F1MH56	F7AJQ2	A0A286ZMK7	W5PSZ3	M3WEH7	J9NWC2	H0VNC4	G1SXV0	F1NWZ0	U3J2T6	G1MV98
Q9NPD3	D4A4Y0	Q921I9	Q9VK19	Q17533	0	0	Q7YRA3	F6ZU96	F1RSL0	W5Q0Q6	A0A2I2UR79	E2RIM3	H0W7U8	G1U4V1	0	U3I340	0
O94779	F1M173	P68500	0	0	0	0	0	F7DRB9	0	W5PDN9	A0A2I2U3J5	F1PIE8	H0VIX3	G1T8M2	Q90W79	U3J0M6	G1NQL0
Q9UBC7	Q9QXQ6	Q810H5	0	0	0	0	0	F6QPM6	A0A287BLT3	W5NZ58	0	J9NUP5	0	0	0	0	0
Q8N350	F1MAS1	Q66L44	0	0	0	0	E1BI93	0	F1S6Q8	W5PNW5	M3WJD4	F1PJE4	H0VDK7	0	0	0	0
O43252	A0A0G2K0L0	Q60967	0	0	0	0	Q3T0J0	F6YB45	M3VH94	W5PG10	M3W7C2	E2QZ13	H0VJB8	G1SM62	E1C8P2	U3IF05	G1N2I7
Q9H857	Q6Q0N3	Q91X76	0	0	0	0	E1BNI8	F6TNH1	F1SIV9	W5NYU6	M3WN54	F1PVZ0	A0A286XD05	G1TME5	A0A1D5PJ03	U3IF65	G1MQG2
O14594	G3V8R2	P55066	0	0	0	0	F1N2Y8	F6V964	A0A287AXU9	W5PGM3	M3W9H1	E2RBU8	0	G1U0U6	A0A1D5P4J8	U3HZ98	G1MYZ0
Q9UBU2	D3ZN48	Q9QYZ8	0	0	0	0	A3KMY2	F7DSU2	A0A287AN69	W5PGQ6	A0A2I2U7E9	E2R5X7	A0A286XEU1	G1SG28	R4GHZ2	U3IEQ9	G1N2J0
Q99576	A0A0G2K0U9	Q9Z2S7	0	0	0	0	G3MY81	F6UCT0	P80220	W5QB99	M3XCM7	J9P041	A0A286XGY6	G1T376	Q06AW4	U3J8R7	0
Q9H4I2	Q80Z36	Q8C0Q2	0	0	0	0	E1BGF9	F6XDA6	A0A287BCP2	0	M3WAN9	E2RSV6	H0W9B0	G1SR00	A0A1D5NUM1	U3IGD6	0
Q8IYL2	D3ZS79	Q9D2Q2	Q9VHB9	Q45EK7	Q02648	0	E1BAA5	F6VE44	A0A287BQ01	W5PUD5	M3WMB9	E2R9S3	A0A286XCS3	G1TJ55	E1C1E7	U3ISL2	0
Q9Y5Q3	P54842	P54841	0	0	0	0	F1N054	F6SRL9	A0A287B9Z0	W5NTC1	A0A2I2U8G2	F1PT78	A0A286XAE4	G1TZM6	0	U3IG20	G1MW90
Q15848	Q8K3R4	Q60994	0	0	0	0	Q3Y5Z3	F7DZE7	A0A287AHI7	W5QH34	M3WJN6	A0A0B4J198	A0A286XNV7	G1TV17	F1NRD4	U3J1G3	G1MY58
Q9Y258	D3ZQG2	F8VQM2	0	0	0	0	0	F6ZD18	A0A287BN00	W5PV16	0	Q64H35	0	0	Q5IEZ5	0	0
Q68CQ7	Q6AYF6	Q6NSU3	0	0	0	0	Q5E9E7	F7DMZ7	F1SH98	W5NVV8	M3WN57	E2QUC8	H0UTK6	G1SY15	E1BX23	U3IBC5	G1MQ81
Q9BRK3	Q5XI43	Q9DBV4	0	0	0	0	Q148M6	F6UG31	I3LLG6	W5P190	0	E2QZ11	H0WA18	0	Q90WI4	U3IGQ8	G1MV62
P54136	P40329	Q9D0I9	Q9VXN4	Q19825	0	0	A7YW98	F6YPN7	F1RR89	W5PYS9	M3WRM0	E2QRR5	H0V9Z5	G1TA11	A0A1D5PJR5	U3I3V5	G1MTY6
Q8TET4	D4A7G5	Q8BVW0	0	0	0	0	E1BKJ4	F6S9C5	A0A287B841	W5QH51	M3VZC6	E2RAA1	H0WDF0	G1T0T2	E1BTT7	U3J628	G1NG17
O75121	Q6AYP2	Q9D3X9	0	0	0	0	E1BB44	0	A0A287B5Q8	W5Q1J2	A0A2I2UQB0	E2QZE8	H0UXR2	G1T1F4	E1C9G1	U3I915	G1MU95
P06239	Q01621	P06240	0	0	0	0	Q3ZCM0	F6USJ9	A0A287AH06	W5QII2	M3WH17	J9P4H4	H0VAT0	G1SK64	F1NP54	U3J2H2	G3X8M0
P47211	Q62805	P56479	0	0	0	0	E1BCM7	F7DSS3	A0A286ZUI2	W5P2L8	M3WA11	E2R155	H0UT82	0	B2ZE94	U3IU61	G1N7I4
Q9H0E3	D3ZLP9	Q8BIH0	Q8IQI0	0	0	0	F1MZQ1	F7B260	A0A286ZMZ6	W5Q362	M3WWX3	F1PIM3	H0VIL6	G1SRU1	E1BRK2	U3INZ2	G1MR59
Q6ZU65	D4A666	Q80WC1	0	0	0	0	E1B7L7	F6VPS3	A0A287BS80	W5PP00	M3WGW1	F6V8V7	H0UWQ6	G1U5V7	F1NK53	U3I9Q6	G1NHG2
O00115	Q9QZK8	P56542	0	0	0	0	P56541	F7BNI3	F1SDY3	W5PKV1	M3VUU5	J9JHU4	H0UUQ3	G1TGM9	0	0	0
O60507	Q3KR92	O70281	0	0	0	0	Q08DH2	F7AB80	F1RJH9	W5PL91	M3WWM0	J9NYB3	A0A286XZ57	G1TQ97	E1C200	U3IH21	G1MZG4
Q71F23	Q4V8G7	Q8C4M7	0	0	0	0	F1MTW3	F6YGN2	F1RSZ2	W5PCC6	M3W3F1	F1Q0R8	A0A286XEY3	G1SKP3	Q2Z1W2	U3J5J7	G1N3I4
Q7Z449	Q4V8D1	Q9CX98	0	0	0	0	F1MFI9	F6RGB6	F1S123	W5PEZ7	M3WME4	F1PXL4	H0VJW8	G1SH72	R4GGG4	U3IHL2	G1N2E8
O76076	G3V7F3	Q9Z0G4	0	0	0	0	F1N0A1	F7C1T2	A0A287BT12	W5P2E4	M3VYK2	E2RJ75	A0A286XA30	G1TY14	A0A1D5PBK2	U3IMF1	G1MXL4
Q9H427	Q8R5I0	B2RVL1	0	0	0	0	E1BEH3	0	F1SDS1	W5P2P2	M3WZR8	F1PKW1	H0WC66	G1TA08	A0A1D5PW54	U3IM66	G1MY08
